,firstName,lastName,player_id,team_id
202694,Marcus,Morris,202694,1610612765
202693,Markieff,Morris,202693,1610612764
201627,Anthony,Morrow,201627,1610612760
202700,Donatas,Motiejunas,202700,1610612745
202389,Timofey,Mozgov,202389,1610612739
1626144,Emmanuel,Mudiay,1626144,1610612743
203498,Shabazz,Muhammad,203498,1610612750
203488,Mike,Muscala,203488,1610612737
1626204,Larry,Nance Jr.,1626204,1610612747
203894,Shabazz,Napier,203894,1610612753
202390,Gary,Neal,202390,1610612764
2749,Jameer,Nelson,2749,1610612743
203526,Raul,Neto,203526,1610612762
203094,Andrew,Nicholson,203094,1610612753
201149,Joakim,Noah,201149,1610612741
203457,Nerlens,Noel,203457,1610612755
203512,Lucas,Nogueira,203512,1610612761
200779,Steve,Novak,200779,1610612749
1717,Dirk,Nowitzki,1717,1610612742
203994,Jusuf,Nurkic,203994,1610612743
1626266,J.J.,O'Brien,1626266,0
203948,Johnny,O'Bryant,203948,1610612749
203124,Kyle,O'Quinn,203124,1610612752
1626143,Jahlil,Okafor,1626143,1610612755
203506,Victor,Oladipo,203506,1610612753
203482,Kelly,Olynyk,203482,1610612738
1626162,Kelly,Oubre,1626162,1610612764
2585,Zaza,Pachulia,2585,1610612742
203123,Kostas,Papanikolaou,203123,0
203953,Jabari,Parker,203953,1610612749
2225,Tony,Parker,2225,1610612759
202718,Chandler,Parsons,202718,1610612742
203934,Lamar,Patterson,203934,1610612737
202335,Patrick,Patterson,202335,1610612761
101108,Chris,Paul,101108,1610612746
203940,Adreian,Payne,203940,1610612750
1626166,Cameron,Payne,1626166,1610612760
203901,Elfrid,Payton,203901,1610612753
201593,Nikola,Pekovic,201593,1610612750
1626339,Jeff,Pendergraph,1626339,1610612746
2570,Kendrick,Perkins,2570,1610612740
1718,Paul,Pierce,1718,1610612746
202353,Tibor,Pleiss,202353,1610612762
203486,Mason,Plumlee,203486,1610612757
203101,Miles,Plumlee,203101,1610612749
202347,Quincy,Pondexter,202347,1610612740
203490,Otto,Porter,203490,1610612764
1626171,Bobby,Portis,1626171,1610612741
204001,Kristaps,Porzingis,204001,1610612752
203939,Dwight,Powell,203939,1610612742
1626181,Norman,Powell,1626181,1610612761
203515,Phil,Pressey,203515,1610612756
101179,Ronnie,Price,101179,1610612756
203143,Pablo,Prigioni,203143,1610612746
2419,Tayshaun,Prince,2419,1610612750
